,concept:name,time:timestamp
1271,Add penalty,2009-04-05 21:18:08.759485+00:00
1271,Send for Credit Collection,2011-12-28 03:03:44.759485+00:00
1297,Insert Fine Notification,2007-09-29 14:52:53.272808+00:00
1297,Add penalty,2008-08-22 04:31:55.550036+00:00
1297,Send for Credit Collection,2011-05-15 10:17:31.550036+00:00
1309,Insert Fine Notification,2007-09-11 09:38:28.728005+00:00
1309,Add penalty,2008-08-20 23:49:11.615031+00:00
1309,Send for Credit Collection,2011-05-14 05:34:47.615031+00:00
1319,Insert Fine Notification,2007-09-29 16:58:59.790713+00:00
1319,Add penalty,2009-03-01 06:13:36.015044+00:00
1319,Send for Credit Collection,2011-11-22 11:59:12.015044+00:00
1341,Insert Fine Notification,2007-09-10 08:37:15.066496+00:00
1341,Add penalty,2009-02-17 20:45:54.029029+00:00
1341,Send for Credit Collection,2011-11-11 02:31:30.029029+00:00
1348,Insert Fine Notification,2007-11-24 01:12:36.428417+00:00
1348,Add penalty,2009-05-21 07:49:27.077324+00:00
1348,Send for Credit Collection,2012-02-11 13:35:03.077324+00:00
1370,Insert Fine Notification,2007-11-10 13:01:10.167249+00:00
1370,Add penalty,2009-02-26 14:32:14.325275+00:00
1370,Send for Credit Collection,2011-11-19 20:17:50.325275+00:00
1377,Insert Fine Notification,2007-11-08 20:16:40.117961+00:00
1377,Add penalty,2009-03-19 13:07:23.255712+00:00
1377,Send for Credit Collection,2011-12-10 18:52:59.255712+00:00
1399,Insert Fine Notification,2007-11-10 06:24:15.821597+00:00
1399,Add penalty,2009-03-06 02:05:34.998082+00:00
1399,Send for Credit Collection,2011-11-27 07:51:10.998082+00:00
1401,Insert Fine Notification,2007-12-25 03:52:56.581499+00:00
1401,Add penalty,2009-03-12 06:55:45.649673+00:00
1401,Send for Credit Collection,2011-12-03 12:41:21.649673+00:00
1408,Insert Fine Notification,2007-02-09 07:51:33.046785+00:00
1408,Add penalty,2008-06-26 14:19:18.211371+00:00
1408,Send for Credit Collection,2011-03-19 20:04:54.211371+00:00
1412,Insert Fine Notification,2007-09-12 19:51:55.901934+00:00
1412,Add penalty,2008-10-05 13:53:10.420992+00:00
1412,Send for Credit Collection,2011-06-28 19:38:46.420992+00:00
1418,Insert Fine Notification,2007-09-12 11:11:59.951282+00:00
1418,Add penalty,2008-11-26 14:09:46.301406+00:00
1418,Send for Credit Collection,2011-08-19 19:55:22.301406+00:00
1465,Insert Fine Notification,2007-09-14 11:29:44.728671+00:00
1465,Add penalty,2008-10-20 22:08:43.207924+00:00
1465,Send for Credit Collection,2011-07-14 03:54:19.207924+00:00
1505,Insert Fine Notification,2007-10-01 00:00:00+00:00
1505,Add penalty,2008-11-28 00:36:01.690738+00:00
1505,Send for Credit Collection,2011-08-21 06:21:37.690738+00:00
1507,Insert Fine Notification,2007-02-11 00:00:00+00:00
1507,Add penalty,2008-06-29 22:50:12.000716+00:00
1507,Send for Credit Collection,2011-03-23 04:35:48.000716+00:00
1519,Insert Fine Notification,2007-09-11 07:48:05.920118+00:00
1519,Add penalty,2008-12-12 18:52:25.860769+00:00
1519,Send for Credit Collection,2011-09-05 00:38:01.860769+00:00
1527,Insert Fine Notification,2007-09-28 10:50:40.726760+00:00
1527,Add penalty,2008-11-24 09:29:24.480082+00:00
1527,Send for Credit Collection,2011-08-17 15:15:00.480082+00:00
1534,Insert Fine Notification,2007-10-16 04:12:30.346800+00:00
1534,Add penalty,2009-03-06 12:18:13.797088+00:00
1534,Send for Credit Collection,2011-11-27 18:03:49.797088+00:00
1543,Insert Fine Notification,2007-10-16 07:34:12.553869+00:00
1543,Add penalty,2008-08-10 22:07:37.484158+00:00
1543,Send for Credit Collection,2011-05-04 03:53:13.484158+00:00
1555,Insert Fine Notification,2007-10-15 00:19:40.073262+00:00
1555,Add penalty,2009-04-11 07:48:40.558938+00:00
1555,Send for Credit Collection,2012-01-02 13:34:16.558938+00:00
1557,Insert Fine Notification,2007-11-23 06:08:21.412477+00:00
1557,Add penalty,2009-02-25 19:12:16.993401+00:00
1557,Send for Credit Collection,2011-11-19 00:57:52.993401+00:00
1564,Insert Fine Notification,2007-12-26 22:25:42.769361+00:00
1564,Add penalty,2008-10-21 17:56:25.496178+00:00
1564,Send for Credit Collection,2011-07-14 23:42:01.496178+00:00
1578,Insert Fine Notification,2008-02-23 04:20:32.974797+00:00
1578,Add penalty,2009-03-16 09:59:52.371908+00:00
1578,Send for Credit Collection,2011-12-07 15:45:28.371908+00:00
1585,Insert Fine Notification,2008-02-21 13:28:51.324736+00:00
1585,Add penalty,2008-12-12 09:45:43.224548+00:00
1585,Send for Credit Collection,2011-09-04 15:31:19.224548+00:00
1587,Insert Fine Notification,2007-02-10 01:14:23.206372+00:00
1587,Add penalty,2008-03-22 06:19:30.401422+00:00
1587,Send for Credit Collection,2010-12-13 12:05:06.401422+00:00
1589,Insert Fine Notification,2008-03-13 15:27:04.499879+00:00
1589,Add penalty,2009-05-02 08:22:37.689523+00:00
1589,Send for Credit Collection,2012-01-23 14:08:13.689523+00:00
1591,Insert Fine Notification,2008-03-15 07:41:14.932433+00:00
1591,Add penalty,2009-07-28 19:13:04.292243+00:00
1591,Send for Credit Collection,2012-04-20 00:58:40.292243+00:00
1608,Insert Fine Notification,2008-03-11 05:05:40.253857+00:00
1608,Add penalty,2009-04-05 11:25:03.685425+00:00
1608,Send for Credit Collection,2011-12-27 17:10:39.685425+00:00
1626,Insert Fine Notification,2007-09-09 11:34:01.464747+00:00
1626,Add penalty,2009-02-07 11:35:54.575910+00:00
1626,Send for Credit Collection,2011-10-31 17:21:30.575910+00:00
1642,Insert Fine Notification,2007-12-27 04:46:17.875732+00:00
1642,Add penalty,2009-04-28 20:02:47.742098+00:00
1642,Send for Credit Collection,2012-01-20 01:48:23.742098+00:00
1650,Insert Fine Notification,2007-09-12 04:09:13.335961+00:00
1650,Add penalty,2008-09-23 13:10:28.812555+00:00
1650,Send for Credit Collection,2011-06-16 18:56:04.812555+00:00
1652,Insert Fine Notification,2007-09-28 09:48:22.633434+00:00
1652,Add penalty,2009-01-24 04:59:44.279008+00:00
1652,Send for Credit Collection,2011-10-17 10:45:20.279008+00:00
1693,Insert Fine Notification,2007-09-28 04:09:13.335961+00:00
1693,Add penalty,2008-10-09 13:10:28.812555+00:00
1693,Send for Credit Collection,2011-07-02 18:56:04.812555+00:00
1695,Insert Fine Notification,2007-09-28 18:51:43.038515+00:00
1695,Add penalty,2008-10-17 07:51:47.881130+00:00
1695,Send for Credit Collection,2011-07-10 13:37:23.881130+00:00
1719,Insert Fine Notification,2007-09-26 21:51:40.311932+00:00
1719,Add penalty,2008-11-21 22:31:51.720501+00:00
1719,Send for Credit Collection,2011-08-15 04:17:27.720501+00:00
1721,Insert Fine Notification,2007-09-13 11:24:50.325657+00:00
1721,Add penalty,2008-09-29 17:50:59.837701+00:00
1721,Send for Credit Collection,2011-06-22 23:36:35.837701+00:00
1738,Insert Fine Notification,2007-09-29 03:40:08.465723+00:00
1738,Add penalty,2009-02-26 04:16:30.905128+00:00
1738,Send for Credit Collection,2011-11-19 10:02:06.905128+00:00
1749,Insert Fine Notification,2007-09-14 22:03:57.972789+00:00
1749,Add penalty,2009-01-26 08:35:51.765138+00:00
1749,Send for Credit Collection,2011-10-19 14:21:27.765138+00:00
1751,Insert Fine Notification,2007-09-27 16:25:55.081128+00:00
1751,Add penalty,2009-03-29 15:16:03.221945+00:00
1751,Send for Credit Collection,2011-12-20 21:01:39.221945+00:00
1755,Insert Fine Notification,2007-09-12 07:37:10.719484+00:00
1755,Add penalty,2009-04-05 08:07:51.606505+00:00
1755,Send for Credit Collection,2011-12-27 13:53:27.606505+00:00
1757,Insert Fine Notification,2007-09-27 20:16:40.117961+00:00
1757,Add penalty,2009-02-05 13:07:23.255712+00:00
1757,Send for Credit Collection,2011-10-29 18:52:59.255712+00:00
1766,Insert Fine Notification,2007-02-11 00:00:00+00:00
1766,Add penalty,2008-04-07 10:00:43.183950+00:00
1766,Send for Credit Collection,2010-12-29 15:46:19.183950+00:00
1777,Insert Fine Notification,2007-09-12 01:28:26.206558+00:00
1777,Add penalty,2008-07-15 09:16:49.694908+00:00
1777,Send for Credit Collection,2011-04-07 15:02:25.694908+00:00
1792,Insert Fine Notification,2007-09-28 22:20:39.425465+00:00
1792,Add penalty,2009-04-29 18:22:45.536872+00:00
1792,Send for Credit Collection,2012-01-21 00:08:21.536872+00:00
1794,Insert Fine Notification,2007-09-28 22:20:39.425465+00:00
1794,Add penalty,2009-04-29 18:22:45.536872+00:00
1794,Send for Credit Collection,2012-01-21 00:08:21.536872+00:00
1803,Insert Fine Notification,2007-09-28 22:20:39.425465+00:00
1803,Add penalty,2009-04-29 18:22:45.536872+00:00
1803,Send for Credit Collection,2012-01-21 00:08:21.536872+00:00
1819,Insert Fine Notification,2007-09-09 00:05:55.046502+00:00
1819,Add penalty,2009-01-29 17:41:24.524238+00:00
1819,Send for Credit Collection,2011-10-22 23:27:00.524238+00:00
1843,Insert Fine Notification,2007-02-11 00:00:00+00:00
1843,Add penalty,2008-04-19 20:42:22.402459+00:00
1843,Send for Credit Collection,2011-01-11 02:27:58.402459+00:00
1863,Insert Fine Notification,2007-09-30 02:51:46.979722+00:00
1863,Add penalty,2008-11-26 11:27:48.862729+00:00
1863,Send for Credit Collection,2011-08-19 17:13:24.862729+00:00
1885,Insert Fine Notification,2007-09-25 22:14:56.646232+00:00
1885,Add penalty,2008-10-20 02:27:08.807478+00:00
1885,Send for Credit Collection,2011-07-13 08:12:44.807478+00:00
1901,Insert Fine Notification,2007-09-25 21:44:03.880850+00:00
1901,Add penalty,2009-02-03 07:19:04.289642+00:00
1901,Send for Credit Collection,2011-10-27 13:04:40.289642+00:00
1911,Insert Fine Notification,2007-09-30 05:13:49.348994+00:00
1911,Add penalty,2008-12-26 00:01:42.242134+00:00
1911,Send for Credit Collection,2011-09-18 05:47:18.242134+00:00
1913,Insert Fine Notification,2007-09-08 13:05:18.239329+00:00
1913,Add penalty,2009-04-06 04:54:30.274711+00:00
1913,Send for Credit Collection,2011-12-28 10:40:06.274711+00:00
1915,Insert Fine Notification,2007-09-27 23:48:48.868902+00:00
1915,Add penalty,2008-11-07 20:31:44.240244+00:00
1915,Send for Credit Collection,2011-08-01 02:17:20.240244+00:00
1924,Insert Fine Notification,2007-09-29 02:47:57.514476+00:00
1924,Add penalty,2008-12-02 21:57:45.900564+00:00
1924,Send for Credit Collection,2011-08-26 03:43:21.900564+00:00
1938,Insert Fine Notification,2007-09-25 11:58:24.409040+00:00
1938,Add penalty,2008-10-25 12:26:26.511875+00:00
1938,Send for Credit Collection,2011-07-18 18:12:02.511875+00:00
1957,Insert Fine Notification,2007-09-30 04:13:24.604762+00:00
1957,Add penalty,2008-08-27 01:41:06.866918+00:00
1957,Send for Credit Collection,2011-05-20 07:26:42.866918+00:00
1967,Insert Fine Notification,2007-09-29 12:17:37.951018+00:00
1967,Add penalty,2008-11-09 06:38:52.013504+00:00
1967,Send for Credit Collection,2011-08-02 12:24:28.013504+00:00
1980,Insert Fine Notification,2007-09-08 01:19:07.425692+00:00
1980,Add penalty,2008-08-17 09:46:52.863698+00:00
1980,Send for Credit Collection,2011-05-10 15:32:28.863698+00:00
2005,Insert Fine Notification,2007-09-13 01:49:35.410984+00:00
2005,Add penalty,2008-11-20 21:28:34.313480+00:00
2005,Send for Credit Collection,2011-08-14 03:14:10.313480+00:00
2030,Insert Fine Notification,2007-02-06 07:08:34.665781+00:00
2030,Add penalty,2008-06-16 02:03:00.658750+00:00
2030,Send for Credit Collection,2011-03-09 07:48:36.658750+00:00
2037,Insert Fine Notification,2007-09-29 08:27:08.333298+00:00
2037,Add penalty,2008-10-18 00:22:17.378455+00:00
2037,Send for Credit Collection,2011-07-11 06:07:53.378455+00:00
2093,Insert Fine Notification,2007-09-25 05:34:47.917572+00:00
2093,Add penalty,2009-04-21 21:18:08.759485+00:00
2093,Send for Credit Collection,2012-01-13 03:03:44.759485+00:00
2105,Insert Fine Notification,2007-09-29 03:59:18.280355+00:00
2105,Add penalty,2009-01-09 06:27:20.901155+00:00
2105,Send for Credit Collection,2011-10-02 12:12:56.901155+00:00
2130,Insert Fine Notification,2007-09-26 08:37:15.066496+00:00
2130,Add penalty,2009-03-05 20:45:54.029029+00:00
2130,Send for Credit Collection,2011-11-27 02:31:30.029029+00:00
2155,Insert Fine Notification,2007-09-26 01:06:02.203296+00:00
2155,Add penalty,2009-03-09 23:39:36.102544+00:00
2155,Send for Credit Collection,2011-12-01 05:25:12.102544+00:00
2179,Insert Fine Notification,2007-09-13 05:29:45.346551+00:00
2179,Add penalty,2008-10-31 23:54:26.780382+00:00
2179,Send for Credit Collection,2011-07-25 05:40:02.780382+00:00
2187,Insert Fine Notification,2007-09-28 07:37:10.719484+00:00
2187,Add penalty,2009-04-21 08:07:51.606505+00:00
2187,Send for Credit Collection,2012-01-12 13:53:27.606505+00:00
2215,Insert Fine Notification,2007-09-28 05:18:16.997987+00:00
2215,Add penalty,2009-01-17 16:31:55.770414+00:00
2215,Send for Credit Collection,2011-10-10 22:17:31.770414+00:00
2217,Insert Fine Notification,2007-09-30 08:26:29.044116+00:00
2217,Add penalty,2009-01-19 05:38:03.668122+00:00
2217,Send for Credit Collection,2011-10-12 11:23:39.668122+00:00
2224,Insert Fine Notification,2007-09-29 02:47:57.514476+00:00
2224,Add penalty,2008-12-02 21:57:45.900564+00:00
2224,Send for Credit Collection,2011-08-26 03:43:21.900564+00:00
2272,Insert Fine Notification,2007-09-30 17:11:15.825537+00:00
2272,Add penalty,2008-10-31 20:36:28.964836+00:00
2272,Send for Credit Collection,2011-07-25 02:22:04.964836+00:00
2299,Insert Fine Notification,2007-09-30 22:03:57.972789+00:00
2299,Add penalty,2009-02-11 08:35:51.765138+00:00
2299,Send for Credit Collection,2011-11-04 14:21:27.765138+00:00
2329,Insert Fine Notification,2007-09-07 11:35:31.028759+00:00
2329,Add penalty,2008-12-09 14:56:52.384056+00:00
2329,Send for Credit Collection,2011-09-01 20:42:28.384056+00:00
2345,Insert Fine Notification,2007-09-27 00:32:10.522090+00:00
2345,Add penalty,2009-02-02 05:11:11.634299+00:00
2345,Send for Credit Collection,2011-10-26 10:56:47.634299+00:00
2379,Insert Fine Notification,2007-09-10 16:21:57.460392+00:00
2379,Add penalty,2008-12-27 11:30:44.308147+00:00
2379,Send for Credit Collection,2011-09-19 17:16:20.308147+00:00
2381,Insert Fine Notification,2007-10-01 00:00:00+00:00
2381,Add penalty,2009-03-04 22:30:37.669568+00:00
2381,Send for Credit Collection,2011-11-26 04:16:13.669568+00:00
2407,Insert Fine Notification,2007-09-23 22:56:32.419270+00:00
2407,Add penalty,2008-09-14 21:31:34.631404+00:00
2407,Send for Credit Collection,2011-06-08 03:17:10.631404+00:00
2416,Insert Fine Notification,2007-02-11 00:00:00+00:00
2416,Add penalty,2008-04-04 21:12:55.499355+00:00
2416,Send for Credit Collection,2010-12-27 02:58:31.499355+00:00
